date,AboveMcClure.Gage Inflow,EmbudoCreekAtDixon.Gage Inflow,Galisteo.Gage Inflow,LittleNavajoRiver.Inflow,NavajoRiver.Inflow,NorthClearCreekBelowContinentalReservoir.Gage Inflow,NorthFloodwayChannel.Gage Inflow,NrJemez.Gage Inflow,PlatoroInflow.Inflow,RedRiverBlwFishHatchery.Gage Inflow,RioBlanco.Inflow,RioLosPinosAtOrtiz.Gage Inflow,RioPuebloDeTaosAtLosCordovas.Gage Inflow,RioPuerco.Gage Inflow,RioSanAntonioAtOrtiz.Gage Inflow,SouthFork.Gage Inflow,ThirtyMileBridge.Gage Inflow,TijerasArroyo.Gage Inflow,"RIO CHAMA NEAR LA PUENTE, NM","RIO OJO CALIENTE AT LA MADERA, NM"
1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-01-07,0.0,0.0,0.0,16.577456,18.174864,0.0,0.0,0.0,26.380749,0.0,20.474094,8.243249,0.0,0.0,4.5429573,7.357793,0.0,0.0,9.6805,1.7212912
1980-01-08,0.0,0.0,0.0,12.966909,9.583965,0.0,0.0,0.014081731,5.7655005,0.0,11.900978,6.0032096,0.0,0.001671233,3.8520947,0.0,7.2368584,0.0,6.965212,0.97816163
1980-01-09,0.0,0.9647084,0.0,31.358181,32.28055,0.96405125,0.0,0.0,48.775536,0.0,40.349567,20.69024,0.6495957,0.0,19.570387,21.834883,15.602348,0.0,20.949957,9.713571
1980-01-10,0.0,4.7615724,0.0,31.16691,32.474064,11.139999,0.0,2.697793,42.239075,5.4208093,35.20605,24.60682,4.431051,1.0583764,21.490759,33.94477,13.13488,0.0,24.403877,13.204835
1980-01-11,0.0,0.117332846,1.3954573,18.953638,19.674887,0.0,5.1835713,5.306625,23.720324,2.2469249,19.020761,13.610452,2.6557276,5.501792,10.318855,7.711591,2.2323015,4.70265,14.557188,7.1688848
1980-01-12,0.0,0.0,0.0,14.737273,14.573814,1.8611281,4.0251784,4.4773846,20.679499,0.0,15.303477,6.1856165,0.0,1.9037879,3.3122885,12.572564,4.771082,1.416976,8.375321,3.8264933
1980-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3426467,0.0,0.0,0.0
1980-01-14,0.0,0.0,0.17660464,23.010548,23.439028,11.513026,6.8292856,0.7327788,35.050213,0.0,28.047174,6.5230393,0.043773584,2.6941051,4.3383355,14.8484955,17.251797,6.145375,10.348776,1.2950213
