date,AboveMcClure.Gage Inflow,EmbudoCreekAtDixon.Gage Inflow,Galisteo.Gage Inflow,LittleNavajoRiver.Inflow,NavajoRiver.Inflow,NorthClearCreekBelowContinentalReservoir.Gage Inflow,NorthFloodwayChannel.Gage Inflow,NrJemez.Gage Inflow,PlatoroInflow.Inflow,RedRiverBlwFishHatchery.Gage Inflow,RioBlanco.Inflow,RioLosPinosAtOrtiz.Gage Inflow,RioPuebloDeTaosAtLosCordovas.Gage Inflow,RioPuerco.Gage Inflow,RioSanAntonioAtOrtiz.Gage Inflow,SouthFork.Gage Inflow,ThirtyMileBridge.Gage Inflow,TijerasArroyo.Gage Inflow,"RIO CHAMA NEAR LA PUENTE, NM","RIO OJO CALIENTE AT LA MADERA, NM"
1980-01-01,7.7730722,7.4143243,7.3767247,1.0096363,0.55513716,-0.21435897,6.220178,6.0033317,-1.4863214,4.365907,0.039927542,0.97863585,6.513733,3.664496,1.5150372,-3.8028607,0.5429344,6.381167,1.8879057,3.8705955
1980-01-02,5.56759,4.26266,4.601891,-0.5585455,-1.1745636,-0.5301538,3.1005356,1.6836731,-1.5464643,1.9290985,-0.4621377,0.254995,2.8653502,1.5428233,1.9214264,-2.1571145,-0.59601843,3.4093711,0.50952405,2.9296813
1980-01-03,4.9121685,3.8497653,3.3348682,-5.0452724,-5.722095,-0.46420512,2.7003572,1.6250097,-5.7410717,-1.6065781,-4.68134,-6.0313945,1.8002964,1.316294,-4.9232836,-4.8499756,-0.23065595,3.0527246,-5.652475,-1.9960628
1980-01-04,7.656687,7.606836,6.89962,-0.60400003,-1.6582295,4.175436,7.473929,4.257207,-1.1497858,5.258335,-0.05007246,-4.472819,6.9771967,4.5271482,-2.08104,-0.27472255,3.8373878,7.575973,-3.4711947,2.0409565
1980-01-05,8.133795,8.14005,8.941279,1.8490909,0.18266833,4.8108206,9.591965,7.0958414,-1.0545356,6.5836306,1.3757609,-2.701374,8.203059,7.1664,-1.9780684,0.62257713,4.68252,9.713548,-1.5419466,1.9019448
1980-01-06,5.3327107,4.654965,9.425519,1.8358182,1.6334664,-0.38989747,8.049107,4.5955577,3.4862144,3.48652,2.4801812,-0.11802407,4.7053638,5.928768,0.3280535,2.8872504,-1.4790103,8.1827545,0.40305096,2.6972158
1980-01-07,1.4695181,2.3032575,4.886484,-1.5429091,-2.0703242,-2.2305129,5.75,1.657322,-2.4129288,0.89987284,-1.7197465,-2.2918255,1.9599327,5.0317483,-0.5837148,-1.2256473,-3.211749,5.945614,-1.7013088,2.720999
1980-01-08,0.09180722,1.2923614,6.555066,-5.5545454,-6.785885,-3.729231,7.875357,0.82246155,-8.395786,-2.3753061,-5.8704343,-5.344474,0.6260512,6.2134333,-4.1918874,-3.8618248,-4.6593904,8.030913,-4.7767973,-0.64724237
1980-01-09,4.8918676,4.5009527,7.156876,-5.291818,-6.5926685,-4.839538,6.34125,1.7774038,-9.509821,-0.19475147,-6.2178264,-4.8231196,2.7117922,5.7438436,-3.8252008,-5.2596793,-5.9135103,6.6973505,-4.319086,-0.34650362
1980-01-10,1.2937951,1.4361593,7.020818,-4.618,-5.7694263,-4.4237947,8.69125,0.08338943,-6.5772862,-1.0392948,-4.694131,-5.20693,1.1925068,6.54162,-3.994101,-3.373588,-5.914476,9.027664,-4.5017514,-0.63649845
