date,AboveMcClure.Gage Inflow,EmbudoCreekAtDixon.Gage Inflow,Galisteo.Gage Inflow,LittleNavajoRiver.Inflow,NavajoRiver.Inflow,NorthClearCreekBelowContinentalReservoir.Gage Inflow,NorthFloodwayChannel.Gage Inflow,NrJemez.Gage Inflow,PlatoroInflow.Inflow,RedRiverBlwFishHatchery.Gage Inflow,RioBlanco.Inflow,RioLosPinosAtOrtiz.Gage Inflow,RioPuebloDeTaosAtLosCordovas.Gage Inflow,RioPuerco.Gage Inflow,RioSanAntonioAtOrtiz.Gage Inflow,SouthFork.Gage Inflow,ThirtyMileBridge.Gage Inflow,TijerasArroyo.Gage Inflow,"RIO CHAMA NEAR LA PUENTE, NM","RIO OJO CALIENTE AT LA MADERA, NM"
1980-01-01,-6.9640365,-10.882617,-7.372833,-19.341091,-19.055761,-26.714874,-8.258929,-10.083961,-21.428534,-20.16051,-21.28826,-18.578167,-16.572306,-10.791578,-17.742687,-27.36423,-26.412106,-8.068533,-17.41696,-14.829564
1980-01-02,-12.085543,-14.196799,-8.795724,-17.827818,-18.027481,-28.053793,-8.028749,-13.122605,-25.966465,-19.542845,-22.008947,-14.889247,-17.12973,-9.263285,-14.564161,-27.056684,-28.359137,-7.9643264,-13.904014,-13.465494
1980-01-03,-14.328615,-18.904438,-10.684435,-24.85491,-26.785862,-32.54313,-10.021607,-17.274092,-32.271965,-25.84319,-27.563986,-26.491667,-23.07108,-11.101094,-25.392126,-29.543837,-33.455547,-9.86286,-24.177063,-20.237179
1980-01-04,-9.877409,-13.181585,-9.745329,-24.279455,-26.309175,-14.533896,-9.921071,-14.109405,-29.400034,-21.854416,-25.254747,-26.435434,-18.02833,-12.526647,-24.937922,-23.717016,-14.542589,-9.569865,-24.419271,-19.563623
1980-01-05,-6.9218073,-11.00229,-7.0344152,-20.073092,-19.717455,-26.601332,-7.598929,-11.078668,-22.227999,-17.85578,-21.677391,-17.69022,-14.763706,-10.453746,-17.448513,-26.56419,-27.592335,-7.233264,-17.280548,-15.376844
1980-01-06,-3.4350002,-7.199488,-3.6304457,-14.597272,-14.820748,-12.295383,-5.0873213,-7.4463944,-15.178606,-16.625593,-14.927464,-15.383591,-13.158086,-8.547404,-15.981396,-15.410937,-11.425374,-5.070958,-14.907226,-13.429277
1980-01-07,-6.7157226,-9.537581,-5.5285544,-16.788727,-16.957232,-20.00559,-2.08625,-5.474332,-17.941286,-8.54052,-17.797424,-14.947051,-9.09907,-4.6863594,-13.89309,-20.017076,-19.854637,-2.465524,-14.894565,-11.21619
1980-01-08,-3.763193,-5.5150924,-3.1511319,-17.188,-18.351595,-14.990666,-2.6225,-4.9749517,-20.453856,-8.873468,-18.340763,-15.959168,-7.5654984,-3.4366689,-13.865349,-18.73952,-15.213521,-2.8466616,-15.459324,-10.134404
1980-01-09,-7.6150603,-8.866998,-5.3731747,-14.886182,-16.180773,-24.98487,-4.6492853,-4.4342213,-24.252893,-10.750219,-18.91518,-11.261364,-9.961429,-4.936228,-10.342586,-23.43683,-24.228136,-4.917245,-10.495939,-8.514245
1980-01-10,-2.3377712,-5.098969,-1.0245193,-11.802728,-13.800075,-14.756358,-0.35232142,-3.1891975,-16.899359,-9.68681,-13.395181,-13.224543,-8.149784,-0.66088337,-11.949748,-13.212675,-12.99221,-0.40670657,-12.017916,-8.549219
1980-01-11,-9.538675,-9.434744,-3.9326937,-14.908909,-15.765736,-25.683025,-2.1005356,-8.382937,-23.543676,-6.8540926,-18.568695,-9.056992,-7.9091244,-1.6777723,-9.766449,-21.681505,-25.178436,-1.836482,-9.27942,-10.863251
1980-01-12,-8.216445,-8.256187,-4.5314455,-9.668181,-11.516583,-15.073282,-3.780536,-5.323091,-17.805573,-6.662035,-12.710289,-10.089017,-7.7895007,-2.412791,-9.8704605,-17.85593,-12.071058,-3.7142665,-8.651624,-8.830441
1980-01-13,-2.4595783,-5.4284062,0.291031,-4.4716363,-6.072569,-12.047231,0.6778571,0.68551445,-10.804071,-4.21252,-6.879746,-6.8291674,-5.2198386,0.16423908,-7.018128,-12.388718,-10.684269,0.95398206,-5.2931266,-5.61805
1980-01-14,-0.13295181,-1.9114721,-0.83622855,-5.3454547,-5.8741646,-14.551743,0.33946425,-1.6008606,-9.825036,-7.0110865,-7.4335866,-4.2001405,-4.755431,-1.5054493,-5.132288,-11.97259,-13.537734,0.03519461,-3.7781725,-4.5365143
1980-01-15,-4.1628914,-3.080882,0.72397286,-6.445818,-7.002195,-14.2096405,0.9167858,-5.6324186,-11.187,-2.7841618,-8.481413,-3.8100703,-2.9898922,-0.62499315,-3.2869835,-10.628928,-13.307962,1.0620509,-3.8615181,-2.2593942
1980-01-16,-5.872049,-7.442226,-3.3835235,-13.503453,-14.994888,-24.419231,-2.0094643,-7.6185045,-20.866465,-13.026256,-16.423042,-10.884674,-10.182695,-3.2278996,-9.486806,-19.380371,-24.806053,-1.9137425,-9.406416,-7.5256486
1980-01-17,-6.9203615,-8.314673,-4.6522326,-15.713636,-17.349726,-23.863129,-2.550893,-8.09765,-22.696142,-13.418647,-18.250072,-14.373511,-10.96217,-4.13858,-12.663209,-20.30884,-24.437214,-2.3503742,-13.045421,-9.648841
1980-01-18,-5.6560836,-6.211323,-3.9244342,-10.965272,-12.244762,-19.455076,-1.699107,-6.464303,-16.17175,-9.112404,-13.040797,-10.751344,-7.54159,-1.922028,-9.311589,-14.736017,-18.865856,-1.7342964,-9.661133,-6.9297767
